amount_tsh,basin,population,public_meeting,scheme_management,permit,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group,age
6000.0,Lake Nyasa,109,True,VWC,False,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,21.0
25.0,Pangani,250,True,VWC,True,gravity,user-group,per bucket,good,enough,surface,communal standpipe,functional,11.0
0.0,Ruvuma / Southern Coast,58,True,VWC,True,submersible,user-group,never pay,good,dry,groundwater,communal standpipe,non functional,34.0
20.0,Pangani,1,True,VWC,True,submersible,user-group,per bucket,salty,enough,unknown,communal standpipe,functional,11.0
0.0,Wami / Ruvu,345,True,Private operator,False,submersible,commercial,never pay,salty,enough,groundwater,other,functional,9.0
200.0,Lake Nyasa,250,True,WUG,False,handpump,user-group,on failure,good,insufficient,groundwater,hand pump,functional,33.0
0.0,Pangani,1,True,Water Board,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,11.0
0.0,Lake Tanganyika,200,True,VWC,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,29.0
500.0,Rufiji,35,True,WUA,True,gravity,user-group,monthly,good,dry,surface,communal standpipe,non functional,42.0
0.0,Rufiji,50,True,WUA,True,gravity,user-group,on failure,good,dry,surface,communal standpipe,non functional,42.0
500.0,Lake Nyasa,1,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,28.0
200.0,Lake Nyasa,4,True,VWC,False,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Rufiji,350,True,WUA,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional,42.0
500.0,Pangani,210,True,Water authority,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,9.0
0.0,Lake Tanganyika,156,False,VWC,True,gravity,user-group,unknown,good,enough,groundwater,improved spring,functional,11.0
0.0,Pangani,140,True,VWC,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,non functional,46.0
500.0,Ruvuma / Southern Coast,260,False,VWC,False,handpump,user-group,monthly,good,enough,groundwater,hand pump,functional,9.0
0.0,Pangani,1,True,Company,True,gravity,commercial,monthly,good,insufficient,groundwater,communal standpipe,non functional,20.0
0.0,Pangani,1,True,Water Board,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,18.0
50.0,Wami / Ruvu,150,False,WUA,True,submersible,commercial,per bucket,good,enough,surface,communal standpipe,functional,16.0
0.0,Pangani,180,False,Other,True,gravity,other,never pay,good,insufficient,surface,other,non functional,48.0
0.0,Lake Nyasa,70,True,VWC,False,gravity,user-group,on failure,good,seasonal,groundwater,communal standpipe,functional,28.0
4000.0,Rufiji,100,True,VWC,True,gravity,user-group,annually,good,enough,surface,communal standpipe,functional,17.0
0.0,Lake Tanganyika,230,True,VWC,False,handpump,user-group,unknown,good,seasonal,groundwater,hand pump,non functional,18.0
25.0,Pangani,50,True,Water Board,True,submersible,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,12.0
500.0,Lake Nyasa,0,True,VWC,False,gravity,user-group,on failure,good,enough,groundwater,communal standpipe,functional,34.0
500.0,Rufiji,250,True,WUG,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,9.0
20.0,Pangani,100,True,VWC,True,gravity,user-group,per bucket,good,insufficient,groundwater,communal standpipe,non functional,20.0
20.0,Ruvuma / Southern Coast,30,True,VWC,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,16.0
4000.0,Rufiji,70,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,17.0
1500.0,Rufiji,20,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,13.0
20.0,Pangani,10,True,Water authority,True,gravity,commercial,per bucket,good,insufficient,groundwater,communal standpipe,functional,12.0
0.0,Lake Rukwa,200,True,VWC,True,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional,47.0
20.0,Pangani,1,True,Water authority,True,gravity,commercial,per bucket,good,insufficient,groundwater,communal standpipe,non functional,12.0
6.0,Pangani,45,True,Water Board,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Pangani,150,True,VWC,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional,11.0
0.0,Pangani,200,True,VWC,False,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe,functional,21.0
0.0,Pangani,1,True,VWC,True,other,user-group,never pay,good,enough,groundwater,other,non functional,28.0
500.0,Lake Tanganyika,567,True,VWC,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,35.0
0.0,Pangani,130,True,VWC,True,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,non functional,18.0
0.0,Internal,225,True,WUG,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,16.0
0.0,Rufiji,50,True,Private operator,True,rope pump,commercial,never pay,good,enough,groundwater,hand pump,functional,10.0
0.0,Rufiji,54,True,WUA,True,gravity,user-group,on failure,good,dry,surface,communal standpipe,non functional,42.0
0.0,Lake Tanganyika,1,True,Water authority,False,other,commercial,never pay,good,dry,surface,communal standpipe,non functional,16.0
500.0,Lake Tanganyika,1,True,Water authority,False,handpump,user-group,on failure,good,enough,groundwater,hand pump,functional,11.0
500.0,Rufiji,75,True,WUA,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Pangani,140,True,VWC,True,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe,functional,46.0
0.0,Pangani,900,True,VWC,False,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional,28.0
0.0,Lake Nyasa,0,True,VWC,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional,18.0
0.0,Wami / Ruvu,100,True,VWC,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional,16.0
0.0,Pangani,360,True,WUA,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,functional,9.0
500.0,Rufiji,441,True,VWC,True,handpump,user-group,monthly,good,enough,groundwater,hand pump,functional,20.0
50.0,Wami / Ruvu,20,False,WUA,True,submersible,commercial,per bucket,good,enough,surface,communal standpipe,non functional,12.0
200.0,Lake Tanganyika,120,True,WUG,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,14.0
0.0,Ruvuma / Southern Coast,280,True,VWC,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,non functional,14.0
200.0,Wami / Ruvu,40,True,Company,True,submersible,user-group,monthly,good,enough,surface,communal standpipe,non functional,33.0
0.0,Internal,221,True,VWC,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,12.0
250.0,Lake Tanganyika,950,True,Water authority,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,13.0
500.0,Lake Tanganyika,1430,True,Water authority,False,submersible,user-group,other,good,enough,groundwater,communal standpipe,non functional,42.0
0.0,Ruvuma / Southern Coast,0,True,VWC,True,gravity,user-group,on failure,good,enough,surface,communal standpipe,non functional,42.0
0.0,Pangani,110,True,VWC,True,other,user-group,never pay,good,dry,groundwater,other,non functional,58.0
